cross_name,cross_type,female_parent,male_parent,female_plot,male_plot,First_Pollination_Date
NM201806_443,open,Huti-white,SH3142,16NM_Huti-white_plot546r26c1,,2018-06-01
NM201806_447,open,Huti-white,SH3142,16NM_Huti-white_plot337r17c1,,2018-06-04
NM201806_448,open,Huti-white,SH3142,16NM_Huti-white_plot504r24c1,,2018-06-04
NM201806_450,open,Huti-white,ITC0712 Cv Rose,16NM_Huti-white_plot548r27c2,,2018-06-05
NM201805_451,open,Huti-white,ITC0249 Calcutta 4,16NM_Huti-white_plot547r27c1,,2018-05-06
NM201805_453,open,Huti-white,SH3142,16NM_Huti-white_plot588r28c1,,2018-05-08
NM201805_455,open,Huti-white,SH3142,16NM_Huti-white_plot211r11c1,,2018-05-13
NM201806_456,open,Huti-white,SH3142,16NM_Huti-white_plot422r21c2,,2018-06-18
NM201806_461,open,Huti-white,SH3142,16NM_Huti-white_plot41r2c2,,2018-06-20
NM201806_462,open,Huti-white,ITC0249 Calcutta 4,16NM_Huti-white_plot335r16c2,,2018-06-20
NM201806_468,open,Huti-white,SH3142,16NM_Huti-white_plot756r36c1,,2018-06-22
NM201806_469,open,Huti-white,SH3142,16NM_Huti-white_plot336r16c1,,2018-06-22
NM201806_470,open,Huti-white,SH3142,16NM_Huti-white_plot630r30c1,,2018-06-26
NM201806_471,open,Huti-white,SH3142,16NM_Huti-white_plot671r32c2,,2018-06-26
NM201806_472,open,Huti-white,SH3142,16NM_Huti-white_plot545r26c2,,2018-06-26
NM201806_473,open,Huti-white,ITC0249 Calcutta 4,16NM_Huti-white_plot757r37c1,,2018-06-26
NM201806_474,open,Huti-white,SH3142,16NM_Huti-white_plot85r5c1,,2018-06-29
NM201806_475,open,Huti-white,SH3142,16NM_Huti-white_plot254r13c2,,2018-06-29
NM201806_476,open,Huti-white,SH3142,16NM_Huti-white_plot419r20c2,,2018-06-29
NM201807_477,open,Huti-white,SH3142,16NM_Huti-white_plot632r31c2,,2018-07-03
NM201807_483,open,Huti-white,SH3142,16NM_Huti-white_plot380r19c2,,2018-07-06
NM201807_484,open,Huti-white,SH3142,16NM_Huti-white_plot125r6c2,,2018-07-09
NM201807_485,open,Huti-white,SH3142,16NM_Huti-white_plot503r24c2,,2018-07-09
NM201807_486,open,Huti-white,SH3142,16NM_Huti-white_plot799r39c1,,2018-07-09
NM201807_490,open,Huti-white,SH3142,16NM_Huti-white_plot83r4c2,,2018-07-12
NM201807_491,open,Huti-white,SH3142,16NM_Huti-white_plot44r3c2,,2018-07-12
NM201807_495,open,Huti-white,ITC0249 Calcutta 4,16NM_Huti-white_plot127r7c1,,2018-07-16
NM201807_496,open,Huti-white,ITC0249 Calcutta 4,16NM_Huti-white_plot420r20c1,,2018-07-16
NM201807_498,open,Huti-white,SH3142,16NM_Huti-white_plot506r25c2,,2018-07-17
NM201807_500,open,Huti-white,ITC0253 Borneo,16NM_Huti-white_plot128r7c2,,2018-07-20
NM201807_503,open,Huti-white,SH3142,16NM_Huti-white_plot296r15c2,,2018-07-20
NM201807_505,open,Huti-white,ITC0249 Calcutta 4,16NM_Huti-white_plot421r21c1,,2018-07-26
NM201807_507,open,Huti-white,SH3142,16NM_Huti-white_plot378r18c1,,2018-07-30
NM201807_508,open,Huti-white,SH3142,16NM_Huti-white_plot464r23c2,,2018-07-30
NM201808_517,open,Huti-white,SH3142,16NM_Huti-white_plot170r9c2,,2018-08-06
NM201808_521,open,Huti-white,SH3142,16NM_Huti-white_plot212r11c2,,2018-08-10
NM201808_522,open,Huti-white,SH3142,16NM_Huti-white_plot377r18c2,,2018-08-10
NM201808_530,open,Huti-white,SH3142,16NM_Huti-white_plot1r1c1,,2018-08-20
NM201808_531,open,Huti-white,SH3142,16NM_Huti-white_plot461r22c2,,2018-08-20
NM201809_538,open,Huti-white,ITC0609 Pahang,16NM_Huti-white_plot2r1c2,,2018-09-03
NM201809_552,open,Huti-white,ITC0712 Cv Rose,16NM_Huti-white_plot209r10c2,,2018-09-24
NM201809_553,open,Huti-white,ITC0253 Borneo,16NM_Huti-white_plot338r17c2,,2018-09-24
NM201804_389,open,Huti-white,SH3142,16NM_Huti-white_plot714r34c1,,2018-04-18
NM201804_396,open,Huti-white,SH3142,16NM_Huti-white_plot673r33c1,,2018-04-23
NM201805_402,open,Huti-white,SH3142,16NM_Huti-white_plot84r4c1,,2018-05-01
NM201805_407,open,Huti-white,SH3142,16NM_Huti-white_plot631r31c1,,2018-05-08
NM201805_408,open,Huti-white,SH3142,16NM_Huti-white_plot43r3c1,,2018-05-09
NM201805_410,open,Huti-white,SH3142,16NM_Huti-white_plot294r14c1,,2018-05-09
NM201805_411,open,Huti-white,ITC0249 Calcutta 4,16NM_Huti-white_plot715r35c1,,2018-05-09
NM201805_412,open,Huti-white,SH3142,16NM_Huti-white_plot253r13c1,,2018-05-14
NM201805_413,open,Huti-white,SH3142,16NM_Huti-white_plot462r22c1,,2018-05-14
NM201805_414,open,Huti-white,SH3142,16NM_Huti-white_plot798r38c1,,2018-05-14
NM201805_421,open,Huti-white,SH3142,16NM_Huti-white_plot295r15c1,,2018-05-17
NM201805_422,open,Huti-white,ITC0253 Borneo,16NM_Huti-white_plot587r28c2,,2018-05-18
NM201805_428,open,Huti-white,SH3142,16NM_Huti-white_plot126r6c1,,2018-05-22
NM201805_429,open,Huti-white,SH3142,16NM_Huti-white_plot169r9c1,,2018-05-22
NM201805_432,open,Huti-white,SH3142,16NM_Huti-white_plot168r8c1,,2018-05-25
NM201805_433,open,Huti-white,ITC0249 Calcutta 4,16NM_Huti-white_plot210r10c1,,2018-05-25
NM201805_436,open,Huti-white,SH3142,16NM_Huti-white_plot629r30c2,,2018-05-25
NM201805_438,open,Huti-white,SH3142,16NM_Huti-white_plot251r12c2,,2018-05-30
NM201806_442,open,Huti-white,SH3142,16NM_Huti-white_plot86r5c2,,2018-06-01
